Title,Year
How the Grinch Stole Christmas,1967
The Magic Flute (Trollflöjten),1975
Sherman's March,1986
A Brighter Summer Day,2011
Accattone (The Procurer) (The Scrounger),1961
Aftershocks (Tangshan dadizhen),2010
American Radical: The Trials of Norman Finkelstein,2010
An Evening with Kevin Smith,2001
An Autumn Afternoon,1964
Anvil! The Story of Anvil,2009
Ballplayer: Pelotero,2012
Black Friday,2005
Butterfly Girl,2015
Canary (Kanarie),
DCU: Justice League: The Flashpoint Paradox,
Dominick Dunne: After the Party,
End of the Century: The Story of the Ramones,2004
F for Fake,1974
Fagara (Huajiao zhiwei),2019
The Fall of Fujimori,2006
Foosballers,2020
Frank and Ollie,1997
Free China: The Courage to Believe,2013
Ghostbusters (1984 Original),1984
Godzilla Vs. Destoroyah,2000
Gogol Bordello Non-Stop,2008
Hearts and Minds,1975
Himalaya (L'Enfance d'un Chef) (Caravan),1999
Historias mínimas (Intimate Stories),2005
"Ivan the Terrible, Part I (Ivan Grozniy)",1944
Jump Shot: The Kenny Sailors Story,2020
Last Days Here,2012
Left on Purpose,2017
Lessons of Darkness,1995
Little Dieter Needs to Fly: Escape from Laos,1998
Lone Wolf and Cub - Baby Cart at the River Styx (Kozure Ôkami: Sanzu no kawa no ubaguruma) (Shogun Assassin),1972
Lost in America,2020
Lupin III: The Castle of Cagliostro (Rupan sansei: Kariosutoro no shiro),2000
Monster Road,2003
Mughal-E-Azam,2005
Nuit et Brouillard (Night and Fog),1955
Okami kodomo no ame to yuki (The Wolf Children Ame and Yuki),
Out of the Clear Blue Sky,2013
Riki-Oh: The Story of Ricky,2002
Rivers and Tides: Andy Goldsworthy Working With Time,2002
Rodents of Unusual Size,2018
Runnin' Down a Dream: Tom Petty and the Heartbreakers,2008
Shadow Company,2007
Shadows of Forgotten Ancestors (Tini zabutykh predkiv),1967
Stranded: I Have Come from a Plane That Crashed on the Mountains,2008
That's Entertainment,1973
The Call of Cthulhu,1969
The Devil's Miner,2006
The Gleaners and I,2001
The Jaundiced Eye,2000
The King of Masks,1999
The Most Dangerous Year,2019
The Phantom Carriage,1920
The Pinochet Case,2002
The Story of the Last Chrysanthemums,1979
Thunder Soul,2011
Tom Dowd and the Language of Music,2004
Trouble Is My Business,2017
Up for Grabs,2005
Ushpizin,2005
The Thief (Vor) (&#1042;&#1086;&#1088;),1997
Wattstax,2000
What Lies Upstream,2018
Which Way Is the Front Line from Here? The Life and Times of Tim Hetherington,2013
The Wild Parrots of Telegraph Hill,2005
Wild Style,2013
