title,url,release_date,critic_score,audience_score,release_year,omdb_Response,omdb_Error,imdbID,Rated,RuntimeMin,Genre,Plot,Poster,OMDb_raw
The Iron Claw,https://www.rottentomatoes.com/m/the_iron_claw,"Released Feb 28, 1916",100.0,100.0,1916.0,True,,tt0006867,N/A,,"Action, Adventure","Episode 1: ""The Vengeance of Legar"" The story begins years ago on an island in the South. Enoch Golden, a wealthy planter, catches Jules Legar, a scheming physician, making love to his wife in an attempt to learn the secret hiding...",https://m.media-amazon.com/images/M/MV5BZTYzN2ZhNGEtYTFjYS00ZWIwLWIwNjAtZjcxOTQxYjc4ZDI4XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"{'Title': 'The Iron Claw', 'Year': '1916', 'Rated': 'N/A', 'Released': '28 Feb 1916', 'Runtime': 'N/A', 'Genre': 'Action, Adventure', 'Director': 'Edward José, George B. Seitz', 'Writer': 'George B. Seitz', 'Actors': 'Pearl White, Creighton Hale, Sheldon Lewis', 'Plot': 'Episode 1: ""The Vengeance of Legar"" The story begins years ago on an island in the South. Enoch Golden, a wealthy planter, catches Jules Legar, a scheming physician, making love to his wife in an attempt to learn the secret hiding...', 'Language': 'None, English', 'Country': 'United States', 'Awards': 'N/A', 'Poster': 'https://m.media-amazon.com/images/M/MV5BZTYzN2ZhNGEtYTFjYS00ZWIwLWIwNjAtZjcxOTQxYjc4ZDI4XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}], 'Metascore': 'N/A', 'imdbRating': '6.5', 'imdbVotes': '41', 'imdbID': 'tt0006867', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Animal Crackers,https://www.rottentomatoes.com/m/animal_crackers,"Released Aug 28, 1930",97.0,89.0,1930.0,True,,tt0020640,G,97,"Comedy, Family, Musical",Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.,https://m.media-amazon.com/images/M/MV5BM2E2YmUyNTktM2Q3Yy00M2ViLWJlNzAtMjEwZDgzZTI0YzI1XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Animal Crackers', 'Year': '1930', 'Rated': 'G', 'Released': '06 Sep 1930', 'Runtime': '97 min', 'Genre': 'Comedy, Family, Musical', 'Director': 'Victor Heerman', 'Writer': 'George S. Kaufman, Morrie Ryskind, Bert Kalmar', 'Actors': 'Groucho Marx, Harpo Marx, Chico Marx', 'Plot': 'Mayhem and zaniness ensue when a valuable painting goes missing during a party in honor of famed African explorer Captain Spaulding.', 'Language': 'English', 'Country': 'United States', 'Awards': '2 nominations', 'Poster': 'https://m.media-amazon.com/images/M/MV5BM2E2YmUyNTktM2Q3Yy00M2ViLWJlNzAtMjEwZDgzZTI0YzI1XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '77/100'}], 'Metascore': '77', 'imdbRating': '7.4', 'imdbVotes': '15,486', 'imdbID': 'tt0020640', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$910,015', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
All Quiet on the Western Front,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front,"Released Aug 24, 1930",98.0,89.0,1930.0,True,,tt0020629,Approved,152,"Drama, War","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",https://m.media-amazon.com/images/M/MV5BNTc2NDE0YjEtYmY3Ni00ZDE4LWE2MzEtZWYwOGI4YTYwNjNjXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'All Quiet on the Western Front', 'Year': '1930', 'Rated': 'Approved', 'Released': '24 Aug 1930', 'Runtime': '152 min', 'Genre': 'Drama, War', 'Director': 'Lewis Milestone', 'Writer': 'Erich Maria Remarque, Maxwell Anderson, George Abbott', 'Actors': 'Lew Ayres, Louis Wolheim, John Wray', 'Plot': 'A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.', 'Language': 'English, French, German, Latin', 'Country': 'United States', 'Awards': 'Won 2 Oscars. 10 wins & 2 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNTc2NDE0YjEtYmY3Ni00ZDE4LWE2MzEtZWYwOGI4YTYwNjNjXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '8.1', 'imdbVotes': '70,518', 'imdbID': 'tt0020629', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
"I Was Born, But ...",https://www.rottentomatoes.com/m/i_was_born_but,1932,100.0,90.0,1932.0,True,,tt0023634,Not Rated,90,"Comedy, Drama",Two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace.,https://m.media-amazon.com/images/M/MV5BY2YzYTdhYmItYWNmMi00NjNlLWJmYTQtMWY2NmU3N2I4NGI3XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'I Was Born, But...', 'Year': '1932', 'Rated': 'Not Rated', 'Released': '03 Jun 1932', 'Runtime': '90 min', 'Genre': 'Comedy, Drama', 'Director': 'Yasujirô Ozu', 'Writer': 'Akira Fushimi, Geibei Ibushiya, Yasujirô Ozu', 'Actors': 'Tatsuo Saitô, Tomio Aoki, Mitsuko Yoshikawa', 'Plot': ""Two young brothers throw a tantrum when they discover that their father isn't the most important man in his workplace."", 'Language': 'None, Japanese', 'Country': 'Japan', 'Awards': '1 win', 'Poster': 'https://m.media-amazon.com/images/M/MV5BY2YzYTdhYmItYWNmMi00NjNlLWJmYTQtMWY2NmU3N2I4NGI3XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '91/100'}], 'Metascore': '91', 'imdbRating': '7.9', 'imdbVotes': '6,338', 'imdbID': 'tt0023634', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Holiday,https://www.rottentomatoes.com/m/holiday,"Released Jun 15, 1938",100.0,89.0,1938.0,True,,tt0030241,Approved,95,"Comedy, Romance",A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother.,https://m.media-amazon.com/images/M/MV5BNTdmOWVhNjAtOWIyYy00ZmQ2LTgyZDItYzg5ZGUyMWQ1YWVmXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Holiday', 'Year': '1938', 'Rated': 'Approved', 'Released': '15 Jun 1938', 'Runtime': '95 min', 'Genre': 'Comedy, Romance', 'Director': 'George Cukor', 'Writer': 'Donald Ogden Stewart, Sidney Buchman, Philip Barry', 'Actors': 'Katharine Hepburn, Cary Grant, Doris Nolan', 'Plot': ""A young man in love with a girl from a rich family finds his unorthodox plan to go on holiday for the early years of his life met with skepticism by everyone except for his fiancée's eccentric sister and long-suffering brother."", 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 1 Oscar. 5 wins & 1 nomination total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNTdmOWVhNjAtOWIyYy00ZmQ2LTgyZDItYzg5ZGUyMWQ1YWVmXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}], 'Metascore': 'N/A', 'imdbRating': '7.7', 'imdbVotes': '19,432', 'imdbID': 'tt0030241', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Citizen Kane,https://www.rottentomatoes.com/m/citizen_kane,"Released May 1, 1941",99.0,90.0,1941.0,True,,tt0033467,PG,119,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Citizen Kane', 'Year': '1941', 'Rated': 'PG', 'Released': '05 Sep 1941', 'Runtime': '119 min', 'Genre': 'Drama, Mystery', 'Director': 'Orson Welles', 'Writer': 'Herman J. Mankiewicz, Orson Welles, John Houseman', 'Actors': 'Orson Welles, Joseph Cotten, Dorothy Comingore', 'Plot': ""Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"", 'Language': 'English, Italian', 'Country': 'United States', 'Awards': 'Won 1 Oscar. 16 wins & 13 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '100/100'}], 'Metascore': '100', 'imdbRating': '8.3', 'imdbVotes': '485,228', 'imdbID': 'tt0033467', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$1,627,530', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
To Be or Not to Be,https://www.rottentomatoes.com/m/to_be_or_not_to_be,"Released Mar 6, 1942",96.0,93.0,1942.0,True,,tt0035446,Approved,99,"Comedy, Romance, War","During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",https://m.media-amazon.com/images/M/MV5BMTA5OTRkZGUtNDhhOS00OThmLTgwZWYtZGZkM2M4YjZhNzc5XkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'To Be or Not to Be', 'Year': '1942', 'Rated': 'Approved', 'Released': '06 Mar 1942', 'Runtime': '99 min', 'Genre': 'Comedy, Romance, War', 'Director': 'Ernst Lubitsch', 'Writer': 'Melchior Lengyel, Edwin Justus Mayer, Ernst Lubitsch', 'Actors': 'Carole Lombard, Jack Benny, Robert Stack', 'Plot': ""During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."", 'Language': 'English, German, French', 'Country': 'United States', 'Awards': 'Nominated for 1 Oscar. 5 wins & 2 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMTA5OTRkZGUtNDhhOS00OThmLTgwZWYtZGZkM2M4YjZhNzc5XkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '86/100'}], 'Metascore': '86', 'imdbRating': '8.1', 'imdbVotes': '47,838', 'imdbID': 'tt0035446', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$3,270,000', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Vertigo,https://www.rottentomatoes.com/m/vertigo,"Released May 9, 1958",92.0,93.0,1958.0,True,,tt0052357,PG,128,"Mystery, Romance, Thriller","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Vertigo', 'Year': '1958', 'Rated': 'PG', 'Released': '28 May 1958', 'Runtime': '128 min', 'Genre': 'Mystery, Romance, Thriller', 'Director': 'Alfred Hitchcock', 'Writer': 'Alec Coppel, Samuel A. Taylor, Pierre Boileau', 'Actors': 'James Stewart, Kim Novak, Barbara Bel Geddes', 'Plot': 'A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.', 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 2 Oscars. 9 wins & 8 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '100/100'}], 'Metascore': '100', 'imdbRating': '8.2', 'imdbVotes': '448,438', 'imdbID': 'tt0052357', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$7,863,310', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Elevator to the Gallows,https://www.rottentomatoes.com/m/frantic,"Released Jun 10, 1958",93.0,91.0,1958.0,True,,tt0051378,Not Rated,91,"Crime, Drama, Thriller","A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.",https://m.media-amazon.com/images/M/MV5BODk4MTkxMDE1Ml5BMl5BanBnXkFtZTgwNjE0NjEzOTE@._V1_SX300.jpg,"{'Title': 'Elevator to the Gallows', 'Year': '1958', 'Rated': 'Not Rated', 'Released': '01 Feb 1958', 'Runtime': '91 min', 'Genre': 'Crime, Drama, Thriller', 'Director': 'Louis Malle', 'Writer': 'Roger Nimier, Louis Malle, Noël Calef', 'Actors': 'Jeanne Moreau, Maurice Ronet, Georges Poujouly', 'Plot': 'A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.', 'Language': 'French, German', 'Country': 'France', 'Awards': '1 win total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BODk4MTkxMDE1Ml5BMl5BanBnXkFtZTgwNjE0NjEzOTE@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '94/100'}], 'Metascore': '94', 'imdbRating': '7.9', 'imdbVotes': '30,560', 'imdbID': 'tt0051378', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': '$374,671', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
Inherit the Wind,https://www.rottentomatoes.com/m/inherit_the_wind,"Released Nov 1, 1960",93.0,91.0,1960.0,True,,tt0053946,Approved,128,"Biography, Drama, History","Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.",https://m.media-amazon.com/images/M/MV5BMWM5NDBlNTAtNDMzNy00ZjMyLTg4ZTYtYWYxNmU2YjVkMzNmXkEyXkFqcGc@._V1_SX300.jpg,"{'Title': 'Inherit the Wind', 'Year': '1960', 'Rated': 'Approved', 'Released': '30 Aug 1960', 'Runtime': '128 min', 'Genre': 'Biography, Drama, History', 'Director': 'Stanley Kramer', 'Writer': 'Nedrick Young, Harold Jacob Smith, Jerome Lawrence', 'Actors': 'Spencer Tracy, Fredric March, Gene Kelly', 'Plot': ""Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution."", 'Language': 'English', 'Country': 'United States', 'Awards': 'Nominated for 4 Oscars. 3 wins & 11 nominations total', 'Poster': 'https://m.media-amazon.com/images/M/MV5BMWM5NDBlNTAtNDMzNy00ZjMyLTg4ZTYtYWYxNmU2YjVkMzNmXkEyXkFqcGc@._V1_SX300.jpg', 'Ratings': [{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '75/100'}], 'Metascore': '75', 'imdbRating': '8.1', 'imdbVotes': '33,439', 'imdbID': 'tt0053946', 'Type': 'movie', 'DVD': 'N/A', 'BoxOffice': 'N/A', 'Production': 'N/A', 'Website': 'N/A', 'Response': 'True'}"
