title,url,release_date,critic_score,audience_score
Patton,https://www.rottentomatoes.com/m/patton,"Released Jan 25, 1970",91.0,93.0
Woodstock,https://www.rottentomatoes.com/m/woodstock,"Released Mar 26, 1970",100.0,92.0
Little Big Man,https://www.rottentomatoes.com/m/little_big_man,"Released Dec 14, 1970",91.0,87.0
Days and Nights in the Forest,https://www.rottentomatoes.com/m/days_and_nights_in_the_forest,1970,100.0,97.0
Patton,https://www.rottentomatoes.com/m/patton,"Released Jan 25, 1970",91.0,93.0
The Boys in the Band,https://www.rottentomatoes.com/m/boys_in_the_band,"Released Mar 17, 1970",90.0,87.0
Woodstock,https://www.rottentomatoes.com/m/woodstock,"Released Mar 26, 1970",100.0,92.0
The Red Circle,https://www.rottentomatoes.com/m/le_cercle_rouge,"Released Jan 2, 1970",96.0,92.0
The Conformist,https://www.rottentomatoes.com/m/the_conformist,"Released Oct 22, 1970",98.0,90.0
The Conformist,https://www.rottentomatoes.com/m/conformist,"Released Oct 22, 1970",98.0,90.0
Three Sisters,https://www.rottentomatoes.com/m/three_sisters,2012,100.0,88.0
Gimme Shelter,https://www.rottentomatoes.com/m/gimme_shelter,"Released Dec 6, 1970",94.0,91.0
Claire's Knee,https://www.rottentomatoes.com/m/claires_knee,"Released Feb 1, 1971",96.0,85.0
Little Big Man,https://www.rottentomatoes.com/m/little_big_man,"Released Dec 14, 1970",91.0,87.0
The French Connection,https://www.rottentomatoes.com/m/the_french_connection,"Released Oct 7, 1971",96.0,87.0
The French Connection,https://www.rottentomatoes.com/m/french_connection,"Released Oct 7, 1971",96.0,87.0
Dirty Harry,https://www.rottentomatoes.com/m/dirty_harry,"Released Jan 1, 1971",89.0,90.0
The Last Picture Show,https://www.rottentomatoes.com/m/last_picture_show,"Released Jan 1, 1971",98.0,89.0
Punishment Park,https://www.rottentomatoes.com/m/punishment_park,"Released Mar 14, 1973",92.0,86.0
The Emigrants,https://www.rottentomatoes.com/m/the_emigrants,"Released Sep 24, 1972",94.0,87.0
The Emigrants,https://www.rottentomatoes.com/m/emigrants,"Released Sep 24, 1972",94.0,87.0
McCabe & Mrs. Miller,https://www.rottentomatoes.com/m/mccabe_and_mrs_miller,"Released Jun 24, 1971",85.0,86.0
Willy Wonka and the Chocolate Factory,https://www.rottentomatoes.com/m/willy_wonka_and_the_chocolate_factory,"Released Jan 1, 1971",92.0,87.0
Walkabout,https://www.rottentomatoes.com/m/walkabout,1971,86.0,86.0
And Now for Something Completely Different,https://www.rottentomatoes.com/m/and_now_for_something_completely_different,1972,88.0,87.0
The French Connection,https://www.rottentomatoes.com/m/the_french_connection,"Released Oct 7, 1971",96.0,87.0
The French Connection,https://www.rottentomatoes.com/m/french_connection,"Released Oct 7, 1971",96.0,87.0
The Last Picture Show,https://www.rottentomatoes.com/m/last_picture_show,"Released Jan 1, 1971",98.0,89.0
Harold and Maude,https://www.rottentomatoes.com/m/harold_and_maude,"Released Jan 1, 1971",86.0,93.0
Dirty Harry,https://www.rottentomatoes.com/m/dirty_harry,"Released Jan 1, 1971",89.0,90.0
The Godfather,https://www.rottentomatoes.com/m/the_godfather,"Released Mar 15, 1972",97.0,98.0
The Godfather,https://www.rottentomatoes.com/m/godfather,"Released Mar 15, 1972",97.0,98.0
"What's Up, Doc?",https://www.rottentomatoes.com/m/whats_up_doc,"Released Mar 10, 1972",89.0,88.0
Jeremiah Johnson,https://www.rottentomatoes.com/m/jeremiah_johnson,"Released Sep 10, 1972",91.0,89.0
Cabaret,https://www.rottentomatoes.com/m/cabaret,"Released Feb 13, 1972",92.0,87.0
Cabaret,https://www.rottentomatoes.com/m/cabaret,"Released Feb 13, 1972",92.0,87.0
The New Land,https://www.rottentomatoes.com/m/the_new_land,"Released Feb 26, 1972",100.0,86.0
"What's Up, Doc?",https://www.rottentomatoes.com/m/whats_up_doc,"Released Mar 10, 1972",89.0,88.0
The Godfather,https://www.rottentomatoes.com/m/the_godfather,"Released Mar 15, 1972",97.0,98.0
The Godfather,https://www.rottentomatoes.com/m/godfather,"Released Mar 15, 1972",97.0,98.0
"Play It Again, Sam",https://www.rottentomatoes.com/m/play_it_again_sam,"Released May 4, 1972",97.0,89.0
And Now for Something Completely Different,https://www.rottentomatoes.com/m/and_now_for_something_completely_different,1972,88.0,87.0
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie,"Released Sep 15, 1972",98.0,88.0
The Discreet Charm of the Bourgeoisie,https://www.rottentomatoes.com/m/discreet_charm_of_the_bourgeoisie,"Released Sep 15, 1972",98.0,88.0
Jeremiah Johnson,https://www.rottentomatoes.com/m/jeremiah_johnson,"Released Sep 10, 1972",91.0,89.0
Paper Moon,https://www.rottentomatoes.com/m/paper_moon,"Released May 9, 1973",90.0,94.0
Serpico,https://www.rottentomatoes.com/m/serpico,"Released Dec 5, 1973",93.0,88.0
Wattstax,https://www.rottentomatoes.com/m/wattstax,"Released Feb 4, 1973",90.0,90.0
Paper Moon,https://www.rottentomatoes.com/m/paper_moon,"Released May 9, 1973",90.0,94.0
The Day of the Jackal,https://www.rottentomatoes.com/m/day_of_the_jackal,"Released Jul 30, 1973",91.0,88.0
Day for Night,https://www.rottentomatoes.com/m/day_for_night,"Released Sep 7, 1973",98.0,91.0
Enter the Dragon,https://www.rottentomatoes.com/m/enter_the_dragon,"Released Jan 1, 1973",88.0,91.0
High Plains Drifter,https://www.rottentomatoes.com/m/high_plains_drifter,"Released Apr 19, 1973",94.0,86.0
Badlands,https://www.rottentomatoes.com/m/badlands,"Released Oct 15, 1973",97.0,90.0
The Holy Mountain,https://www.rottentomatoes.com/m/holy_mountain,"Released Nov 29, 1973",85.0,88.0
Serpico,https://www.rottentomatoes.com/m/serpico,"Released Dec 5, 1973",93.0,88.0
Fantastic Planet,https://www.rottentomatoes.com/m/fantastic_planet,1973,91.0,87.0
The Last Detail,https://www.rottentomatoes.com/m/last_detail,"Released Dec 12, 1973",87.0,87.0
Amarcord,https://www.rottentomatoes.com/m/amarcord,"Released Sep 19, 1974",87.0,90.0
Blazing Saddles,https://www.rottentomatoes.com/m/blazing_saddles,In Theaters Sun Sep 15,89.0,91.0
Young Frankenstein,https://www.rottentomatoes.com/m/young_frankenstein,"Released Dec 15, 1974",95.0,92.0
"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii,"Released Dec 12, 1974",96.0,97.0
Blazing Saddles,https://www.rottentomatoes.com/m/blazing_saddles,In Theaters Sun Sep 15,89.0,91.0
The Conversation,https://www.rottentomatoes.com/m/the_conversation,"Released Apr 7, 1974",97.0,89.0
The Conversation,https://www.rottentomatoes.com/m/conversation,"Released Apr 7, 1974",97.0,89.0
Alice in the Cities,https://www.rottentomatoes.com/m/alice_in_the_cities,"Released Apr 28, 1977",100.0,91.0
That's Entertainment!,https://www.rottentomatoes.com/m/thats_entertainment,"Released May 23, 1974",100.0,86.0
Chinatown,https://www.rottentomatoes.com/m/chinatown,"Released Jun 20, 1974",98.0,93.0
The Take,https://www.rottentomatoes.com/m/the_take,"Released Sep 3, 2004",90.0,91.0
The Taking of Pelham One Two Three,https://www.rottentomatoes.com/m/the_taking_of_pelham_one_two_three,"Released Oct 2, 1974",98.0,88.0
The Taking of Pelham One Two Three,https://www.rottentomatoes.com/m/taking_of_pelham_one_two_three,"Released Oct 2, 1974",98.0,88.0
Female Trouble,https://www.rottentomatoes.com/m/female_trouble,"Released Oct 4, 1975",90.0,85.0
Lenny,https://www.rottentomatoes.com/m/lenny,"Released Aug 15, 1975",87.0,88.0
The Phantom of Liberty,https://www.rottentomatoes.com/m/phantom_of_liberty,"Released Sep 11, 1974",85.0,91.0
F for Fake,https://www.rottentomatoes.com/m/f_for_fake,"Released Jan 30, 1976",88.0,88.0
Young Frankenstein,https://www.rottentomatoes.com/m/young_frankenstein,"Released Dec 15, 1974",95.0,92.0
"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii,"Released Dec 12, 1974",96.0,97.0
Hearts and Minds,https://www.rottentomatoes.com/m/hearts_and_minds,"Released Nov 17, 1975",91.0,90.0
Jaws,https://www.rottentomatoes.com/m/jaws,"Released Jun 20, 1975",97.0,90.0
One Flew Over the Cuckoo's Nest,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest,"Released Nov 19, 1975",93.0,96.0
