title,url,release_date,critic_score,audience_score,average_rating,release_date_clean,release_date_parsed
The Hiding Place,https://www.rottentomatoes.com/m/the_hiding_place,"Released Aug 3, 2023",,91.0,91.0,"Aug 3, 2023",2023-08-03
The Color Purple,https://www.rottentomatoes.com/m/the_color_purple,"Released Dec 25, 2023",82.0,95.0,88.5,"Dec 25, 2023",2023-12-25
Creature,https://www.rottentomatoes.com/m/creature,2022,90.0,80.0,85.0,2022,2022-01-01
The Color Purple,https://www.rottentomatoes.com/m/the_color_purple,"Released Dec 25, 2023",82.0,95.0,88.5,"Dec 25, 2023",2023-12-25
The Allnighter,https://www.rottentomatoes.com/m/the_allnighter,2023,100.0,92.0,96.0,2023,2023-01-01
Accused,https://www.rottentomatoes.com/m/accused,2023,100.0,,100.0,2023,2023-01-01
Bulletproof,https://www.rottentomatoes.com/m/bulletproof,"Released Oct 29, 2021",100.0,,100.0,"Oct 29, 2021",2021-10-29
Happening,https://www.rottentomatoes.com/m/happening,"Released May 6, 2022",99.0,77.0,88.0,"May 6, 2022",2022-05-06
Lourdes,https://www.rottentomatoes.com/m/lourdes,"Released Jun 25, 2021",100.0,91.0,95.5,"Jun 25, 2021",2021-06-25
Just Mercy,https://www.rottentomatoes.com/m/just_mercy,"Released Jan 10, 2020",85.0,99.0,92.0,"Jan 10, 2020",2020-01-10
Bad Boys for Life,https://www.rottentomatoes.com/m/bad_boys_for_life,"Released Jan 17, 2020",75.0,96.0,85.5,"Jan 17, 2020",2020-01-17
Onward,https://www.rottentomatoes.com/m/onward,"Released Mar 6, 2020",88.0,95.0,91.5,"Mar 6, 2020",2020-03-06
The Croods: A New Age,https://www.rottentomatoes.com/m/the_croods_a_new_age,"Released Nov 25, 2020",77.0,94.0,85.5,"Nov 25, 2020",2020-11-25
Sonata,https://www.rottentomatoes.com/m/sonata,2021,,100.0,100.0,2021,2021-01-01
Bad Boys for Life,https://www.rottentomatoes.com/m/bad_boys_for_life,"Released Jan 17, 2020",75.0,96.0,85.5,"Jan 17, 2020",2020-01-17
Onward,https://www.rottentomatoes.com/m/onward,"Released Mar 6, 2020",88.0,95.0,91.5,"Mar 6, 2020",2020-03-06
Boys State,https://www.rottentomatoes.com/m/boys_state,"Released Jul 31, 2020",95.0,91.0,93.0,"Jul 31, 2020",2020-07-31
Words on Bathroom Walls,https://www.rottentomatoes.com/m/words_on_bathroom_walls,"Released Aug 21, 2020",89.0,94.0,91.5,"Aug 21, 2020",2020-08-21
Critical Thinking,https://www.rottentomatoes.com/m/critical_thinking,"Released Sep 4, 2020",94.0,91.0,92.5,"Sep 4, 2020",2020-09-04
Killian & the Comeback Kids,https://www.rottentomatoes.com/m/killian_and_the_comeback_kids,"Released Sep 18, 2020",,100.0,100.0,"Sep 18, 2020",2020-09-18
The Trial of the Chicago 7,https://www.rottentomatoes.com/m/the_trial_of_the_chicago_7,"Released Oct 16, 2020",89.0,90.0,89.5,"Oct 16, 2020",2020-10-16
Love and Monsters,https://www.rottentomatoes.com/m/love_and_monsters,"Released Oct 16, 2020",94.0,89.0,91.5,"Oct 16, 2020",2020-10-16
Sound of Metal,https://www.rottentomatoes.com/m/sound_of_metal,"Released Nov 20, 2020",97.0,90.0,93.5,"Nov 20, 2020",2020-11-20
The Croods: A New Age,https://www.rottentomatoes.com/m/the_croods_a_new_age,"Released Nov 25, 2020",77.0,94.0,85.5,"Nov 25, 2020",2020-11-25
News of the World,https://www.rottentomatoes.com/m/news_of_the_world,"Released Dec 25, 2020",88.0,89.0,88.5,"Dec 25, 2020",2020-12-25
One Night in Miami,https://www.rottentomatoes.com/m/one_night_in_miami,"Released Dec 25, 2020",98.0,78.0,88.0,"Dec 25, 2020",2020-12-25
Promising Young Woman,https://www.rottentomatoes.com/m/promising_young_woman,"Released Dec 25, 2020",90.0,87.0,88.5,"Dec 25, 2020",2020-12-25
A Quiet Place Part II,https://www.rottentomatoes.com/m/a_quiet_place_part_ii,"Released May 28, 2021",91.0,92.0,91.5,"May 28, 2021",2021-05-28
Our Friend,https://www.rottentomatoes.com/m/our_friend,"Released Jan 22, 2021",86.0,95.0,90.5,"Jan 22, 2021",2021-01-22
Nomadland,https://www.rottentomatoes.com/m/nomadland,"Released Feb 19, 2021",93.0,82.0,87.5,"Feb 19, 2021",2021-02-19
Judas and the Black Messiah,https://www.rottentomatoes.com/m/judas_and_the_black_messiah,"Released Feb 12, 2021",96.0,95.0,95.5,"Feb 12, 2021",2021-02-12
Minari,https://www.rottentomatoes.com/m/minari,"Released Feb 12, 2021",98.0,87.0,92.5,"Feb 12, 2021",2021-02-12
Billie Eilish: The World's a Little Blurry,https://www.rottentomatoes.com/m/billie_eilish_the_worlds_a_little_blurry,"Released Feb 26, 2021",96.0,95.0,95.5,"Feb 26, 2021",2021-02-26
Raya and the Last Dragon,https://www.rottentomatoes.com/m/raya_and_the_last_dragon,"Released Mar 5, 2021",93.0,97.0,95.0,"Mar 5, 2021",2021-03-05
The Courier,https://www.rottentomatoes.com/m/the_courier,"Released Mar 19, 2021",85.0,95.0,90.0,"Mar 19, 2021",2021-03-19
Shiva Baby,https://www.rottentomatoes.com/m/shiva_baby,"Released Apr 2, 2021",96.0,78.0,87.0,"Apr 2, 2021",2021-04-02
Arlo the Alligator Boy,https://www.rottentomatoes.com/m/arlo_the_alligator_boy,2021,85.0,85.0,85.0,2021,2021-01-01
The Mitchells vs. the Machines,https://www.rottentomatoes.com/m/the_mitchells_vs_the_machines,"Released Apr 23, 2021",97.0,89.0,93.0,"Apr 23, 2021",2021-04-23
