provider,count,percent
Apple TV,1256,78.45096814490942
Amazon Video,1252,78.20112429731418
Fandango At Home,1169,73.01686445971268
Google Play Movies,1085,67.77014366021237
YouTube,1077,67.27045596502185
Spectrum On Demand,255,15.927545284197375
Criterion Channel,210,13.116801998750779
HBO Max,201,12.554653341661462
HBO Max Amazon Channel,192,11.992504684572143
Amazon Prime Video,148,9.24422236102436
Philo,144,8.994378513429107
Amazon Prime Video with Ads,143,8.931917551530294
fuboTV,134,8.369768894440973
Plex,83,5.184259837601499
Netflix,70,4.372267332916927
Netflix Standard with Ads,63,3.9350405996252342
Disney Plus,62,3.8725796377264214
FlixFling,60,3.7476577139287945
MGM Plus,55,3.4353529044347284
MGM+ Amazon Channel,49,3.0605871330418486
YouTube TV,48,2.998126171143036
Fandor Amazon Channel,40,2.4984384759525295
MGM Plus Roku Premium Channel,39,2.4359775140537163
AMC+ Amazon Channel,35,2.1861336664584634
Peacock Premium Plus,30,1.8738288569643973
Peacock Premium,30,1.8738288569643973
Shout! Factory Amazon Channel,30,1.8738288569643973
Kino Film Collection,28,1.7489069331667706
Hulu,28,1.7489069331667706
AMC+,26,1.6239850093691444
OVID,25,1.5615240474703311
BFI Player Amazon Channel,23,1.4366021236727045
Starz Apple TV Channel,22,1.3741411617738912
Cinemax Apple TV Channel,21,1.311680199875078
Cinemax Amazon Channel,21,1.311680199875078
IndieFlix,20,1.2492192379762648
Paramount Plus,19,1.1867582760774515
Paramount+ Roku Premium Channel,18,1.1242973141786383
IndieFlix Shorts Amazon Channel,18,1.1242973141786383
Paramount+ Amazon Channel,17,1.061836352279825
Fandor,16,0.9993753903810119
Cohen Media Amazon Channel,16,0.9993753903810119
TCM,15,0.9369144284821986
Night Flight Plus,12,0.749531542785759
Magnolia Selects Amazon Channel,12,0.749531542785759
DocuramaFilms Amazon Channel,11,0.6870705808869456
Qello Concerts by Stingray Amazon Channel,11,0.6870705808869456
History Vault,10,0.6246096189881324
FilmBox Live Amazon Channel,10,0.6246096189881324
Screambox Amazon Channel,10,0.6246096189881324
IFC Films Unlimited Apple TV Channel,10,0.6246096189881324
AMC Plus Apple TV Channel ,9,0.5621486570893192
Midnight Pulp Amazon Channel,8,0.49968769519050593
MovieSphere+ Amazon Channel,8,0.49968769519050593
Sundance Now,8,0.49968769519050593
Dox Amazon Channel,8,0.49968769519050593
Cultpix,8,0.49968769519050593
Eternal Family,8,0.49968769519050593
Starz Amazon Channel,7,0.43722673329169265
Starz,7,0.43722673329169265
DocAlliance Films,7,0.43722673329169265
Midnight Pulp,7,0.43722673329169265
Rakuten Viki,7,0.43722673329169265
Britbox Apple TV Channel ,6,0.3747657713928795
Starz Roku Premium Channel,6,0.3747657713928795
MUBI,6,0.3747657713928795
Screambox,6,0.3747657713928795
Hi-YAH Amazon Channel,5,0.3123048094940662
Hi-YAH,5,0.3123048094940662
Shudder Amazon Channel,5,0.3123048094940662
Viaplay Amazon Channel,5,0.3123048094940662
Cineverse,5,0.3123048094940662
Shudder,5,0.3123048094940662
Shudder Apple TV Channel,5,0.3123048094940662
Metrograph,5,0.3123048094940662
Klassiki,4,0.24984384759525297
MUBI Amazon Channel,4,0.24984384759525297
AMC+ Roku Premium Channel,4,0.24984384759525297
AMC,4,0.24984384759525297
Great American Pure Flix Amazon Channel,4,0.24984384759525297
Pure Flix,4,0.24984384759525297
GuideDoc,3,0.18738288569643974
Strand Releasing Amazon Channel,3,0.18738288569643974
Kanopy,3,0.18738288569643974
Film Movement Plus Amazon Channel,3,0.18738288569643974
Eros Now Select Apple TV Channel,3,0.18738288569643974
Film Movement Plus,3,0.18738288569643974
France Channel Amazon Channel,3,0.18738288569643974
Hoichoi,3,0.18738288569643974
Fuse+ Amazon Channel,3,0.18738288569643974
Chai Flicks,3,0.18738288569643974
Crunchyroll Amazon Channel,3,0.18738288569643974
Crunchyroll,3,0.18738288569643974
Monsters and Nightmares Amazon Channel,2,0.12492192379762648
PBS Documentaries Amazon Channel,2,0.12492192379762648
Apple TV Plus Amazon Channel,2,0.12492192379762648
MZ Choice Amazon Channel,2,0.12492192379762648
Troma NOW,2,0.12492192379762648
NBC,2,0.12492192379762648
Apple TV+,2,0.12492192379762648
The Coda Collection Amazon Channel,2,0.12492192379762648
TCM Amazon Channel,2,0.12492192379762648
tru TV,2,0.12492192379762648
Warriors and Gangsters Amazon Channel,2,0.12492192379762648
The Surf Network Amazon Channel,2,0.12492192379762648
Dove Amazon Channel,2,0.12492192379762648
Flix Premiere,2,0.12492192379762648
Dekkoo Amazon Channel,2,0.12492192379762648
Dekkoo,2,0.12492192379762648
ScreenPix Amazon Channel ,2,0.12492192379762648
ScreenPix Apple TV Channel,2,0.12492192379762648
TBS,2,0.12492192379762648
TNT,2,0.12492192379762648
Takflix,1,0.06246096189881324
BritBox Amazon Channel,1,0.06246096189881324
IndiePix Unlimited Amazon Channel,1,0.06246096189881324
Brown Sugar Amazon Channel,1,0.06246096189881324
True Story,1,0.06246096189881324
MovieSaints,1,0.06246096189881324
USA Network,1,0.06246096189881324
AcornTV Amazon Channel,1,0.06246096189881324
Acorn TV Apple TV,1,0.06246096189881324
BritBox,1,0.06246096189881324
RetroCrush Amazon Channel,1,0.06246096189881324
AsianCrush,1,0.06246096189881324
Retrocrush,1,0.06246096189881324
ARROW,1,0.06246096189881324
BroadwayHD,1,0.06246096189881324
Broadway HD Amazon Channel,1,0.06246096189881324
FUEL TV+ Amazon Channel,1,0.06246096189881324
YouTube Premium,1,0.06246096189881324
Revry Amazon Channel,1,0.06246096189881324
FilmBox+,1,0.06246096189881324
Freeform,1,0.06246096189881324
Paramount+ with Showtime,1,0.06246096189881324
Kidstream Amazon Channel,1,0.06246096189881324
ALLBLK Apple TV channel,1,0.06246096189881324
ALLBLK Amazon channel ,1,0.06246096189881324
Acorn TV,1,0.06246096189881324
