rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1000013-12_angry_men,12 Angry Men (Twelve Angry Men),"Following the closing arguments in a murder trial, the 12 members of the jury must deliberate, with a guilty verdict meaning death for the accused, an inner-city teen. As the dozen men try to reach a unanimous decision while sequestered in a room, one juror (Henry Fonda) casts considerable doubt on elements of the case. Personal issues soon rise to the surface, and conflict threatens to derail the delicate process that will decide one boy's fate.","Sidney Lumet's feature debut is a superbly written, dramatically effective courtroom thriller that rightfully stands as a modern classic.",NR,"Classics, Drama",Sidney Lumet,Reginald Rose,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley Sr., George Voskovec, Robert Webber, Rudy Bond, James A. Kelly, Billy Nelson, John Savoca",1957-04-13,2017-01-13,95.0,Criterion Collection,Certified-Fresh,100.0,54.0,Upright,97.0,105386.0,6,54,0
m/1000121-39_steps,The 39 Steps,"While on vacation in London, Canadian Richard Hannay (Robert Donat) becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith (Lucie Mannheim), who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan (Godfrey Tearle) from sending secrets out of the country. Hannay is assisted by Pamela (Madeleine Carroll), an unwilling accomplice who discovers the truth.","Packed with twists and turns, this essential early Alfred Hitchcock feature hints at the dazzling heights he'd reach later in his career.",NR,"Action & Adventure, Classics, Mystery & Suspense",Alfred Hitchcock,"Alma Reville, Charles Bennett, Ian Hay, Alfred Hitchcock","Robert Donat, Madeleine Carroll, Godfrey Tearle, Lucie Mannheim, Peggy Ashcroft, John Laurie, Helen Haye, Wylie Watson, Frank Cellier, Peggy Simpson, Gus McNaughton, Jerry Verno, Miles Malleson, Marianne Stone",1935-08-01,2017-01-12,80.0,Gaumont British Distributors,Certified-Fresh,96.0,51.0,Upright,86.0,23890.0,8,49,2
m/10002519-breaking_point,The Breaking Point,A charter-boat captain winds up in the middle of a syndicate shootout after transporting illegal immigrants.,,NR,Drama,Michael Curtiz,Ranald MacDougall,"John Garfield, Patricia Neal, Phyllis Thaxter, Juano Hernandez, Wallace Ford, Edmon Ryan, Ralph Dumke, Guy Thomajan, William Campbell, Sherry Jackson, Donna Jo Boyce, Victor Sen Yung, Peter Brocco, John Doucette, James Griffith, Norman Field, Juan Duval, Spencer Chan, Helen Hatch, Bob McLean, Beverly Mook, John Close, Alex Gerry, Mary Carroll, Glen Turnbull, John Chapin Morgan, John Alvin, David McMahon, Paul McGuire, Len Hendry",1950-10-06,2016-08-25,97.0,Warner Home Video,Fresh,100.0,10.0,Upright,86.0,335.0,1,10,0
m/1000253-adams_rib,Adam's Rib,"A courtroom rivalry finds its way into the household when prosecuting lawyer Adam Bonner (Spencer Tracy) faces off against his wife, Amanda (Katharine Hepburn), who happens to be a defense attorney. Working on opposite sides of a lawsuit where a woman (Judy Holliday) has shot her cheating husband (Tom Ewell), Adam and Amanda are both determined to win the case, and their home becomes the setting for comical showdowns, with neither spouse willing to relent.","Matched by Garson Kanin's witty, sophisticated screenplay, George Cukor, Spencer Tracy, and Katherine Hepburn are all in top form in the classic comedy Adam's Rib.",NR,"Classics, Comedy, Romance",George Cukor,"Garson Kanin, Ruth Gordon","Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell, David Wayne, Jean Hagen, Hope Emerson, Eve March, Clarence Kolb, Emerson Treacy, Polly Moran, Will Wright, Elizabeth Flournoy, Janna Da Loos, Marvin Kaplan, John Maxwell Sholes, David Clarke, Gracille LaVinder, William Self, Paula Raymond, Tommy Noonan, John Maxwell, Ray Walker, Bill Self, Sidney Dubin, Madge Blake, Marjorie Wood, Lester Luther, De Forrest Lawrence, John Fell, David Roger Harris, Anna Q. Nilsson, Rex Evans, Louis Mason, Charles Bastin, James Nolan, E. Bradley Coleman, Glen B. Gallagher, Joseph E. Bernard, Gil Patric, Harry Cody, George Magrill, Bert Davidson",1949-11-18,2008-05-01,101.0,MGM Home Entertainment,Fresh,96.0,28.0,Upright,86.0,10563.0,6,27,1
m/10002673-prowler,The Prowler (Cost of Living ),"After being frightened by a peeping Tom at her mansion in the suburbs, the beautiful Susan Gilvray (Evelyn Keyes) calls the police for help. When a policeman, Webb Garwood (Van Heflin), arrives, he becomes infatuated with Susan, and the two engage in an affair. Susan soon ends their relationship, choosing to remain with her husband, John (Sherry Hall). However, Webb's obsession with her continues to grow, until he begins plotting to kill John and cash in on his life insurance policy.",,PG,"Drama, Mystery & Suspense",Joseph Losey,"Robert Thoeren, Hugo Butler, Dalton Trumbo","Van Heflin, Evelyn Keyes, Katherine Warren, John Maxwell, Emerson Treacy, Madge Blake, Wheaton Chambers, Robert Osterloh, Sherry Hall, Louise Lorimer, George Nader, Benny Burt, Louise M. Bates, Steve Carruthers, Betty Jane Howarth, Fred Hoose, Alan Harris, Tiny Jones",1951-12-03,2016-12-05,92.0,VCI Entertainment,Fresh,100.0,18.0,Upright,86.0,286.0,6,18,0
m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,"When King Richard the Lionheart is captured, his scheming brother Prince John (Claude Rains) plots to reach the throne, to the outrage of Sir Robin of Locksley (Errol Flynn), the bandit king of Sherwood Forest. Rounding up his band of men and eventually winning the support of the lovely Maid Marian (Olivia de Havilland), Robin accuses Prince John of treachery and, when the escaped Richard returns covertly to England, joins forces with the king to prevent Prince John from taking the crown.","Errol Flynn thrills as the legendary title character, and the film embodies the type of imaginative family adventure tailor-made for the silver screen.",PG,"Action & Adventure, Classics, Romance","Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller, Michael Curtiz, William Keighley","Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Eugene Pallette, Alan Hale, Una O'Connor, Patric Knowles, Melville Cooper, Herbert Mundin, Montagu Love, Ian Hunter, Robert Warwick, Leonard Willey, Harry Cording, Howard Hill, Robert Noble, Kenneth Hunter, Colin Kenny, Lester Matthews, Ivan Simpson, James Baker, Charles McNaughton, Wilfred Lucas, Lionel Belmore, Janet Shaw, Reginald Sheffield, Crauford Kent, Austin Fairman, Hal Brazeale, Holmes Herbert, Leonard Mudie, Herbert Evans, Alec Harford, Peter Hobbes, Leyland Hodgson, Olaf Hytten, Marten Lamont, Val Stanton, John Sutton",1938-05-14,2014-01-23,102.0,Warner Bros.,Certified-Fresh,100.0,48.0,Upright,89.0,33946.0,8,48,0
m/10004890-narrow_margin,The Narrow Margin,"Tense story of a tough cop attempting to transport the widow of a gangster to the trial in which she'll testify. They undertake a rail journey from Chicago to Los Angeles with their lives constantly under threat from hit men on the train, who will stop at nothing to prevent her from testifying.",,NR,"Classics, Drama, Mystery & Suspense",Richard Fleischer,"Earl Felton, Martin Goldsmith","Charlie MacGraw, Charles McGraw, Marie Windsor, Jacqueline White, Gordon Gebert, Queenie Leonard, David Clarke, Peter Virgo, Don Beddoe, Paul Maxey, Harry Harvey, Michael Lally, Donald Dillaway, George Sawaya, Tony Merrill, Howard Mitchell, Milton Kibbee, Don Haggerty, Johnny Lee, Ivan Browning, Clarence Hargrave, Edgar Murray, Napoleon Whiting, Bobbie Johnson, Will Lee, Franklin Parker, Jasper Weldon",1952-05-04,2012-08-20,71.0,Warner Home Video,Fresh,100.0,11.0,Upright,88.0,1135.0,0,11,0
m/1000617-aliens,Aliens,"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.","While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver.",R,"Action & Adventure, Horror, Science Fiction & Fantasy",James Cameron,James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Scott, Tip Tipping, Trevor Steedman, Paul Maxwell, Valerie Colgan, Alan Polonsky, Lance Henriksen, Alibe Parsons, Blain Fairman, Barbara Coles, Carl Toop, Louise Head, John Lees, Kiran Shah",1986-07-18,2015-11-25,137.0,20th Century Fox,Certified-Fresh,97.0,76.0,Upright,94.0,429674.0,17,74,2
m/1000626-all_about_eve,All About Eve,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,"Classics, Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders, Celeste Holm, Hugh Marlowe, Thelma Ritter, Marilyn Monroe, Gregory Ratoff, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Bess Flowers, Ed Fisher, Steve Geray",1950-01-01,2015-11-25,138.0,20th Century Fox,Certified-Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1
m/10006588-street_fight,Street Fight,"Documentarian Marshall Curry chronicles the 2002 mayoral race in Newark, New Jersey. The election involves Sharpe James, who has held the seat for 16 years, and his challenger, attorney Cory Booker. Curry investigates the legality and ethics of the veteran mayor's tactics, and captures James' staff engaging in illicit behavior and threatening their competition with violence. James' vicious smear campaign is also documented. Spike Lee and Cornel West appear in the film on Booker's behalf.","Street Fight takes an immersive ground-level look at a pivotal political race that proves illuminating, entertaining, and inspiring in equal measure.",NR,"Documentary, Special Interest",Marshall Curry,Marshall Curry,"Cory Booker, Sharpe James, Pablo Fonseca, Rich McGrath, Al Sharpton, Jesse Jackson, Jim McGreevey",2005-01-01,2016-12-05,86.0,Marshall Curry Productions,Fresh,100.0,22.0,Upright,93.0,2989.0,11,22,0
