title,year,providers,source
12 Angry Men (Twelve Angry Men),1957.0,"Amazon Video, MGM+ Amazon Channel, MGM Plus Roku Premium Channel, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Philo, MGM Plus, Fandango At Home, fuboTV",TMDb
The 39 Steps,1935.0,"Shout! Factory Amazon Channel, Amazon Video, Amazon Prime Video with Ads, HBO Max, Apple TV, Criterion Channel, Amazon Prime Video, HBO Max Amazon Channel, Fandango At Home",TMDb
The Breaking Point,1950.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Adam's Rib,1949.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Prowler (Cost of Living ),1951.0,"Amazon Video, Amazon Prime Video, Amazon Prime Video with Ads",TMDb
The Adventures of Robin Hood,1938.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
The Narrow Margin,1952.0,"Amazon Video, YouTube TV, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Aliens,1986.0,"Amazon Video, Hulu, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home",TMDb
All About Eve,1950.0,"Amazon Video, Google Play Movies, Apple TV, TCM, YouTube, Fandango At Home",TMDb
Street Fight,2005.0,"Amazon Video, Apple TV",TMDb
Deep Water,2006.0,"AMC+, Amazon Video, Philo, AMC+ Amazon Channel",TMDb
Kenny,2008.0,"Amazon Video, Amazon Prime Video with Ads, Google Play Movies, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Sin Nombre,2009.0,"Google Play Movies, Apple TV, Peacock Premium Plus, Spectrum On Demand, YouTube, Fandango At Home, Peacock Premium",TMDb
Crude,2009.0,,None
The Apartment,1960.0,"Amazon Video, Plex, Amazon Prime Video with Ads, Google Play Movies, Apple TV, Spectrum On Demand, YouTube, Fandango At Home, Amazon Prime Video",TMDb
Beauty and The Beast (La Belle et la bête),1946.0,"Amazon Video, HBO Max, Apple TV, Criterion Channel, HBO Max Amazon Channel",TMDb
The Big Heat,,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
The Big Sleep,1946.0,"Amazon Video, Google Play Movies, Apple TV, Spectrum On Demand, TCM, YouTube, Fandango At Home",TMDb
Billy Budd,1962.0,"Amazon Video, Google Play Movies, Apple TV, YouTube, Fandango At Home",TMDb
Der Blaue Engel (The Blue Angel),1930.0,"Amazon Video, Kino Film Collection, Apple TV",TMDb
